Season,Title,Date,Rating,Votes,Description
1,S1.E15 ∙ Round One to the Hot Crazy Chick,"Mon, Feb 9, 2004",7.8, (1.8K,Charlie falls for a seemingly crazy woman named Frankie--against Alan's advice.
1,"S1.E16 ∙ That Was Saliva, Alan","Mon, Feb 16, 2004",7.8, (1.7K,"Now that Frankie has tricked the Harpers into sheltering her and her daughter Joanie, she explains that Bob's parents want her declared mentally incompetent in order to get custody. Charlie wants to dump her, but Alan insists that they must stay. Jake doesn't enjoy the 8-year-old's ""romantic"" attention. Charlie hates the consolation kisses and compliments, and is stunned when Frankie prefers intimacy with Alan. Charlie rightly warns him that he's just falling for his ""damsel in distress"", then warns her not to hurt his kid brother."
1,"S1.E17 ∙ Ate the Hamburgers, Wearing the Hats","Mon, Feb 23, 2004",7.9, (1.7K,"Charlie is offended when Alan chooses their married, responsible cousins as Jake's guardians."
1,S1.E18 ∙ An Old Flame with a New Wick,"Mon, Mar 1, 2004",8.4, (2K,"Charlie's old flame Jill visits and has really changed: ""Jill"" has transitioned since Charlie last saw him and is now called Bill. Before Charlie can adapt, Evelyn meets and starts dating Bill."
1,"S1.E19 ∙ I Remember the Coatroom, I Just Don't Remember You","Mon, Mar 22, 2004",8.1, (1.7K,Judith's sister Liz visits for Jake's birthday.
1,"S1.E20 ∙ Hey, I Can Pee Outside in the Dark","Mon, Apr 19, 2004",7.5, (1.6K,"Jake plays electric guitar all day long and doesn't want to do anything else. Alan and Charlie can't figure out why. Jake refuses to discuss anything with anyone, including his grandmother and even a psychologist."
1,"S1.E21 ∙ No Sniffing, No Wowing","Mon, May 3, 2004",8.0, (1.7K,"Charlie tries to seduce Alan's divorce lawyer Laura, and her assistant. He sleeps with Laura and they decide not to tell Alan anything since it's unethical, considering that Charlie is a participant in the case."
1,S1.E22 ∙ My Doctor Has a Cow Puppet,"Mon, May 10, 2004",7.8, (1.6K,"Charlie notices that Alan sleepwalks and tries to find out what's causing it and how to deal with it. He asks for help from their mother Evelyn and Jake's psychologist, Dr. Linda Freeman."
1,S1.E23 ∙ Just Like Buffalo,"Mon, May 17, 2004",8.4, (1.9K,"When Jake repeats to Judith something Charlie says, she refuses to let Alan take Jake for the weekend. Alan tries to talk to Judith, but encounters resistance from her and her friends. It's up to Charlie to set things right."
1,S1.E24 ∙ Can You Feel My Finger,"Mon, May 24, 2004",8.1, (1.7K,"Charlie is sure he isn't ready for fatherhood after a year of trying to raise Jake, so he opts to have a vasectomy. But when the doctor performing the procedure keeps getting calls from his wife -- who's about to give birth -- Charlie starts to think about what fatherhood might entail and likes the idea, provided he still has his vital organs intact (in more ways than one)."
2,S2.E1 ∙ Back Off Mary Poppins,"Mon, Sep 20, 2004",7.9, (2K,Charlie is having some friends coming over to his house to have a gathering but Alan is not invited. Things got worse when Alan is also not invited to Judith's party even though her guests are Alan's friends.
2,S2.E2 ∙ Enjoy Those Garlic Balls,"Mon, Sep 27, 2004",7.6, (1.5K,"Alan is hurt when he finds out that Judith is seeing Jake's pediatrician; meanwhile, Evelyn tries to find out why Charlie hates her."
2,S2.E3 ∙ A Bag Full of Jawea,"Mon, Oct 4, 2004",7.9, (1.6K,"After Jake flips off his teacher, Alan and Judith move to punish him. Charlie, meanwhile, has other plans for Jake's teacher. Chaos ensues when Jake discovers the relationship and the increasingly overbearing Miss Pasternak tells Charlie she believes God brought them together."
2,S2.E4 ∙ Go Get Mommy's Bra,"Mon, Oct 11, 2004",7.9, (1.5K,"After Charlie reluctantly lends Evelyn his new car, he later discovers her bra in the back seat. Meanwhile, Alan is forced to compensate after Jake gets attached to Judith's rich and talented boyfriend."
2,S2.E5 ∙ Bad News from the Clinic,"Mon, Oct 18, 2004",7.6, (1.5K,"Charlie is dating a self-assured woman who plays hard to get, easily dismisses him, and he finds it disarming. Rose gets Charlie to see that his new lady-friend, Sherry, is in his head because she is just like him; a self-centered, manipulative, narcissist. Charlie debates breaking it off. Alan and Jake fiercely battle wills over Jake doing his homework."
2,S2.E6 ∙ The Price of Healthy Gums Is Eternal Vigilance,"Mon, Oct 25, 2004",7.8, (1.5K,"After confessing responsibility for a childhood shoplifting incident blamed on Alan, Charlie seeks the forgiveness of his now-infuriated brother."
2,S2.E7 ∙ A Kosher Slaughterhouse Out in Fontana,"Mon, Nov 8, 2004",7.3, (1.5K,"Evelyn announces she is receiving an honor from the real estate industry and that Charlie and Alan will host a party in her honor. Mayhem ensues when Berta and her sister agree to cater the event, but sibling rivalry takes center stage."
2,S2.E8 ∙ Frankenstein and the Horny Villagers,"Mon, Nov 15, 2004",8.0, (1.5K,"Alan gets carried away with a woman he met at the supermarket, and it's up to Charlie to talk some sense into him while shielding Jake and Judith from what's going on."
2,"S2.E9 ∙ Yes, Monsignor","Mon, Nov 22, 2004",7.7, (1.5K,"Charlie runs into a newly-divorced ex, now single mom, who's willing to give him another shot. Back home, Jake tries to diagnose his learning problems."
2,S2.E10 ∙ The Salmon Under My Sweater,"Mon, Nov 29, 2004",7.9, (1.5K,"Charlie struggles to write a jingle for a new cartoon. Meanwhile, Alan spends time with Rose, and Jake procrastinates doing a book report."
2,S2.E11 ∙ Last Chance to See Those Tattoos,"Mon, Dec 13, 2004",8.0, (1.6K,"Charlie sets out to find who started a derogatory web site about him. Meanwhile, Alan overhears something he shouldn't on Jake's webcam."
2,S2.E12 ∙ A Lung Full of Alan,"Mon, Jan 3, 2005",8.0, (1.6K,An old classmate is in town while Charlie and Alan spar over whom she likes more.
2,S2.E13 ∙ Zejdz z Zmoich Wlosów,"Mon, Jan 17, 2005",8.1, (1.5K,Tensions rise after an earthquake displaces Judith to Charlie's house.
2,S2.E14 ∙ Those Big Pink Things with Coconut,"Mon, Jan 31, 2005",7.6, (1.4K,Evelyn's condescending attitude towards Jake's good grades sets Charlie and Alan out for revenge.
2,S2.E15 ∙ Smell the Umbrella Stand,"Mon, Feb 7, 2005",7.8, (1.4K,Charlie and Alan's weekend trip to Las Vegas has a little trouble getting off the ground.
2,S2.E16 ∙ Can You Eat Human Flesh with Wooden Teeth?,"Mon, Feb 14, 2005",8.2, (1.6K,"It's the week of hell as Judith's out of town, Alan's got Jake, and nothing seems to be going right."
2,"S2.E17 ∙ Woo-Hoo, a Hernia-Exam!","Mon, Feb 21, 2005",7.8, (1.5K,Berta teaches Jake something about cleanliness while Charlie's in pain after a sexual encounter goes horribly wrong.
2,"S2.E18 ∙ It Was Mame, Mom","Mon, Mar 7, 2005",8.1, (1.7K,Charlie cons Alan into being his date at his gay friend's dinner party. But how long can they keep up the act?
2,"S2.E19 ∙ A Low, Guttural Tongue-Flapping Noise","Mon, Mar 21, 2005",7.8, (1.5K,"A freak food-flinging accident leaves Alan with impaired vision, which doesn't bode well especially when he draws a liking to one of Charlie's exes."
2,S2.E20 ∙ I Always Wanted a Shaved Monkey,"Mon, Apr 18, 2005",7.6, (1.5K,Rose intervenes after Alan and Charlie come to blows over some of their unresolved issues.
2,S2.E21 ∙ A Sympathetic Crotch to Cry On,"Mon, May 2, 2005",7.8, (1.5K,"After one of her ex-husbands dies, Evelyn summons Alan, Charlie, and Jake to the funeral, where Charlie takes a keen interest in the widow."
2,S2.E22 ∙ That Old Hose Bag Is My Mother,"Mon, May 9, 2005",7.6, (1.5K,"Alan borrows money from Evelyn to buy a Porsche, but life doesn't become as glamorous as he expects."
2,"S2.E23 ∙ Squab, Squab, Squab, Squab, Squab","Mon, May 16, 2005",8.7, (2K,"The brothers can't resist mother Evelyn demanding quality with Jake, like his maternal grandparents, but 'less', so get her agree to a single night of Alan's weekend, which even Judith can't stop. The brothers feel guilty exposing the boy to the she-devil who traumatized both of them for life, so Jake gets spoiled and bribed first, then they find solace in a beach bar, serially dating birdbrain volleyball babes. Meanwhile hosting Jake proves way worse then being Evelyn's hillbilly guest."
2,S2.E24 ∙ Does This Smell Funny to You,"Mon, May 23, 2005",8.3, (1.6K,Jake recounts his weekend in which Charlie's latest fling is with a woman who turns out to be married to a now very angry old man.
3,S3.E1 ∙ Weekend in Bangkok with Two Olympic Gymnasts,"Mon, Sep 19, 2005",7.8, (1.5K,"After Alan falls off the roof, Charlie has to look after the adolescent and increasingly obnoxious Jake for the weekend."
3,S3.E2 ∙ Principal Gallagher's Lesbian Lover,"Mon, Sep 26, 2005",8.1, (1.6K,"Alan must lobby Jake's principal to keep him from getting expelled, leaving Charlie to manage the chiropractic office for the day."
3,S3.E3 ∙ Carpet Burns and a Bite Mark,"Mon, Oct 3, 2005",7.7, (1.4K,"After it's revealed Alan and Judith have been trying to reconcile, Charlie, Evelyn, and Rose vie for the role of spoiler."
3,S3.E4 ∙ Your Dismissive Attitude Toward Boobs,"Mon, Oct 10, 2005",7.7, (1.4K,"Alan looks for a new place after he invites Berta to stay at Charlie's house, bringing the brothers to blows."
3,S3.E5 ∙ We Called It Mr. Pinky,"Mon, Oct 17, 2005",7.7, (1.4K,Charlie's inability to reciprocate his girlfriend's love forces him to examine his relationships with women.
3,"S3.E6 ∙ Hi, Mr. Horned One","Mon, Oct 24, 2005",8.4, (2K,"Charlie's Satan-worshiping girlfriend has a knack for the supernatural, and seems to be the cause of some strange happenings around the Harper house."
3,"S3.E7 ∙ Sleep Tight, Puddin' Pop","Mon, Nov 7, 2005",7.9, (1.5K,"Charlie gets drunk and sleeps with Rose on her birthday. Rose says she knows it's no big deal. But her father quickly shows up at Charlie's house, under the impression that they've been dating for two years."
3,S3.E8 ∙ That Voodoo That I Do Do,"Mon, Nov 14, 2005",8.3, (1.6K,"Charlie bribes Jake into taking ballet lessons so he can try to win over the teacher, but uncle and nephew end up competing for her affections."
3,S3.E9 ∙ Madame and Her Special Friend,"Mon, Nov 21, 2005",8.0, (1.5K,Charlie's elderly neighbor has an uncomfortable business proposition for Alan.
3,S3.E10 ∙ Something Salted and Twisted,"Mon, Nov 28, 2005",7.5, (1.4K,"After Alan goes on a dinner with Jake, Charlie and Evelyn, he becomes fed up with seeking approval from women and decides to quit doing so with a little help from Charlie."
3,S3.E11 ∙ Santa's Village of the Damned,"Mon, Dec 19, 2005",8.3, (1.7K,"Alan's girlfriend Sandy is Malibu's answer to Martha Stewart, causing Alan and Charlie to pack on the pounds. Their desire for her fabulous culinary output is ultimately overwhelmed by her craziness."
3,S3.E12 ∙ That Special Tug,"Mon, Jan 9, 2006",8.0, (1.5K,"After a disastrous evening out with his brother, Charlie decides it is time to see a shrink."
3,S3.E13 ∙ Humiliation Is a Visual Medium,"Mon, Jan 23, 2006",7.6, (1.4K,"Charlie has to decide whether he can really commit to a serious relationship with Mia, especially when sex is currently off the agenda. Unsurprisingly, his suggestion that he sleep with other women in the meantime falls on somewhat stony ground."
3,"S3.E14 ∙ Love Isn't Blind, It's Retarded","Mon, Feb 6, 2006",8.2, (1.5K,"As Charlie tries to receive his version of benefits from the relationship he has with Mia, Alan starts dating Charlie's most recent ex-girlfriend."
3,S3.E15 ∙ My Tongue Is Meat,"Mon, Feb 27, 2006",7.8, (1.4K,"Forced to hide in his garage to enjoy a brace of beers and half a Cuban cigar, Charlie's attempts to keep his unhealthy lifestyle habits secret from Mia fall apart when she smells bacon on his breath, resulting in their first major argument since taking their relationship to a physical plane."
3,"S3.E16 ∙ Ergo, the Booty Call","Mon, Mar 6, 2006",8.4, (1.5K,"Jake's twelfth birthday approaches. Alan is busy with young, hot Kandi."
3,S3.E17 ∙ The Unfortunate Little Schnauzer,"Mon, Mar 13, 2006",7.5, (1.4K,"Charlie is nominated for an award, but he knows his rival Archie will win, as usual, so he doesn't want to attend it. Rose asks Charlie to help her with her boyfriend Gordon."
3,S3.E18 ∙ The Spit-Covered Cobbler,"Mon, Mar 20, 2006",7.7, (1.3K,"Alan is having financial problems: Kandi is too ""expensive"" for him."
3,"S3.E19 ∙ Golly Moses, She's a Muffin","Mon, Apr 10, 2006",7.9, (1.4K,"Charlie learns that Kandi has been living with them for three weeks. It turns out he hasn't even noticed some furniture changes. Alan wants to try her as secretary, but Charlie doesn't think she's smart enough for that."
3,"S3.E20 ∙ Always a Bridesmaid, Never a Burro","Mon, Apr 24, 2006",8.3, (1.5K,"Alan is forced to admit to Charlie, who keeps rubbing it in, that he has hit rock-bottom now that his brainless girlfriend, Kandi, has moved in with his ex-wife. It's all so confusing that Jake would prefer the ladies to be lesbians, because it would be easier to explain. Jake tells Alan that Kandi's mom, Mandi, has joined Charlie's endless list of sexual conquests. At Judith's front door, Judith won't let Alan talk to Kandi, she just repeats Judith's phrases, clearly without understanding their meaning. Alan then sees Kandi's dad, Andy, arrive for a blind date with Judith. Frolicking finale at Judith's, in rooms, bed and hot-tub."
3,S3.E21 ∙ And the Plot Moistens,"Mon, May 1, 2006",7.7, (1.4K,"Alan turns to Jake's teacher for stimulating conversation, since Kandi obviously can't provide any. But the teacher starts to get the wrong idea about Alan's intentions."
3,S3.E22 ∙ Just Once with Aunt Sophie,"Mon, May 8, 2006",7.9, (1.4K,"Jake attends his first boy-girl party, dating a smart girl, Wendy Cho. Alan was looking forward to coaching his son, but even Jake, who spends his schooldays watching the clock tick, isn't dumb enough to consider dating advice from him. Charlie proves he can coach a virtually hopeless case like Jake with appearance, dance and anything else. In fact Alan envies Jake so much, he still hopes for ."
3,S3.E23 ∙ Arguments for the Quickie,"Mon, May 15, 2006",7.7, (1.3K,"Mia comes back and asks Charlie to donate his sperm. He agrees to, but for some unknown reason he can't deliver."
3,S3.E24 ∙ That Pistol-Packin' Hermaphrodite,"Mon, May 22, 2006",8.1, (1.4K,"Charlie and Mia discover that setting up a wedding with their two crazy families is a disaster, so they decide to get married in Las Vegas."
4,S4.E1 ∙ Working for Caligula,"Mon, Sep 18, 2006",7.6, (1.4K,"Kandi dumps Alan, which forces him and Jake to move back in with Charlie, who was just getting used to getting his bachelor pad back."
4,S4.E2 ∙ Who's Vod Kanockers,"Mon, Sep 25, 2006",7.8, (1.4K,"Charlie starts to lose control now that Mia's gone and Alan and Jake are back, and his frustration culminates in a violent confrontation with his new neighbor, Steven Tyler."
4,S4.E3 ∙ The Sea Is a Harsh Mistress,"Mon, Oct 2, 2006",7.5, (1.4K,"In the middle of a near-death experience, Charlie thinks he hears his father's voice tell him to take care of his mother, who is just about to have a ""minor procedure"" performed on her."
4,S4.E4 ∙ A Pot Smoking Monkey,"Mon, Oct 9, 2006",7.5, (1.3K,"Alan wants custody of the dog Chester he shared in his late marriage with Kandi. Meanwhile, Charlie helps Jake with his girlfriend."
4,S4.E5 ∙ A Live Woman of Proven Fertility,"Mon, Oct 16, 2006",7.8, (1.4K,"When Judith announces she is going to remarry, Charlie and Alan must convince her fiancé to proceed with the nuptials after he displays signs of cold feet, so that Alan can discontinue alimony payments to Judith."
4,S4.E6 ∙ Apologies for the Frivolity,"Mon, Oct 23, 2006",8.3, (1.6K,Charlie is the last one to realize that he is dating a younger version of his mother.
4,S4.E7 ∙ Repeated Blows to His Unformed Head,"Mon, Oct 30, 2006",7.8, (1.4K,Charlie reluctantly agrees to help Berta as she confronts the man who impregnated her youngest daughter; Alan tells Charlie about a secret fetish.
4,S4.E8 ∙ Release the Dogs,"Mon, Nov 13, 2006",7.9, (1.4K,"After a bout with insomnia, Alan is escorted home from a midnight run on the beach by the local sheriff's department. Jake fights back when Charlie goes back on his word about not dating his friend's mother."
4,S4.E9 ∙ Corey's Been Dead for an Hour,"Mon, Nov 20, 2006",7.7, (1.4K,"Charlie finally gets fed up with Alan always weaseling his way out of picking up a bill, and it only gets worse when he discovers Alan's secret stash of money."
4,S4.E10 ∙ Kissing Abraham Lincoln,"Mon, Nov 27, 2006",7.7, (1.4K,"Charlie's new live-in girlfriend is skating on thin ice with Berta because she threatens Berta's ""alpha dog"" status; Kandi lets Alan have sex with her again so that he won't sell the condo."
4,S4.E11 ∙ Walnuts and Demerol,"Mon, Dec 11, 2006",8.6, (1.8K,Charlie's quest to get laid on Christmas Eve threatens to fall apart when everybody shows up at his house and refuses to leave.
4,S4.E12 ∙ Castrating Sheep in Montana,"Mon, Jan 8, 2007",7.6, (1.3K,"Alan is seeing Berta's daughter behind everyone's back. But when Berta finds out, Alan is shocked and a little disturbed by her positive response."
4,"S4.E13 ∙ Don't Worry, Speed Racer","Mon, Jan 22, 2007",7.6, (1.3K,Repressed memories come back to the surface for Charlie after Jake talks about hearing his mom having sex.
4,"S4.E14 ∙ That's Summer Sausage, Not Salami","Mon, Feb 5, 2007",7.7, (1.4K,"Charlie tries to set up Alan with the sexy and rich new next-door neighbor who is looking to settle down. But when Charlie discovers her secret history as a drunken slut, he decides to go after her himself."
4,S4.E15 ∙ My Damn Stalker,"Mon, Feb 12, 2007",7.8, (1.4K,"Alan takes a stab at online dating, and Rose tells Charlie that she's moving away."
4,S4.E16 ∙ Young People Have Phlegm Too,"Mon, Feb 19, 2007",7.7, (1.4K,"Charlie tries to convince himself and Alan that he's not too old to be part of the wild, young party crowd."
4,S4.E17 ∙ I Merely Slept with a Commie,"Mon, Feb 26, 2007",7.5, (1.3K,"After Charlie and Alan tell their mom that nobody loves her enough to attend her funeral, she replaces them with a new family, which makes both of them very jealous."
4,S4.E18 ∙ It Never Rains in Hooterville,"Mon, Mar 19, 2007",7.6, (1.3K,"Alan feels the pangs of fatherhood disappearing as Jake grows, and contemplates his future with Kandi, who is contemplating on a new career move."
4,S4.E19 ∙ Smooth as a Ken Doll,"Mon, Apr 9, 2007",8.1, (1.4K,"Alan thinks he's making his last alimony payment to Judith, but Judith's future sister-in-law could be putting the wedding in jeopardy. And things only get worse when she hooks up with Charlie."
4,S4.E20 ∙ Aunt Myra Doesn't Pee a Lot,"Mon, Apr 16, 2007",8.2, (1.4K,Alan sees nothing but troubles in his future as Charlie's relationship with Judith's future sister-in-law blossoms.
4,"S4.E21 ∙ Tucked, Taped and Gorgeous","Mon, Apr 23, 2007",7.7, (1.4K,Everyone suspects that Alan may be coming out of the closet when he becomes good friends with a gay man. But Charlie is actually the one who is suddenly feeling insecure about his sexuality.
4,S4.E22 ∙ Mr. McGlue's Feedbag,"Mon, Apr 30, 2007",7.7, (1.3K,"When Alan has to go renew his driver's license, he convinces Charlie to help Jake with book report. But when Charlie takes Jake to the track, instead, Jake's horse comes in."
4,S4.E23 ∙ Anteaters. They're Just Crazy-lookin,"Mon, May 7, 2007",8.0, (1.5K,"Charlie hires a handyman to fix his deck, then begins to feel threatened when all the women in his life flock to the new guy."
4,S4.E24 ∙ Prostitutes and Gelato,"Mon, May 14, 2007",8.2, (1.4K,"In an effort to bond with Alan and Charlie, Evelyn's new boyfriend invites them on a trip to Vegas with all the frills."
5,"S5.E1 ∙ Large Birds, Spiders and Mom","Mon, Sep 24, 2007",7.8, (1.4K,"Jake is ready to begin junior high school, until Alan scares him by telling him about all of the horrors that he experienced. Meanwhile, Charlie has a rash in a most inopportune area."
5,S5.E2 ∙ Media Room Slash Dungeon,"Mon, Oct 1, 2007",7.8, (1.3K,Charlie and his mom temporarily become friends until Charlie takes an interest in one of her married clients; Alan goes to bed with a woman who has self-esteem issues.
5,S5.E3 ∙ Dum Diddy Dum Diddy Doo,"Mon, Oct 8, 2007",7.8, (1.3K,"Charlie humors Alan by going on a date with a woman his own age instead of a young bimbo. But when the woman rejects him after the first date, he becomes obsessed with seeing her again."
5,S5.E4 ∙ City of Great Racks,"Mon, Oct 15, 2007",7.9, (1.3K,"Charlie is getting serious with Linda. But lately he seems to be seeing his ex-stalker, Rose. Has she returned from England, or is it his imagination?"
5,S5.E5 ∙ Putting Swim Fins on a Cat,"Mon, Oct 22, 2007",7.8, (1.3K,"Charlie hasn't had a paying gig for months, so Alan becomes part of a drug study to make extra money. Meanwhile, Charlie tries to bond with Linda's four-year-old son."
5,S5.E6 ∙ Help Daddy Find His Toenail,"Mon, Oct 29, 2007",7.7, (1.4K,"A medication mix-up causes Charlie to humiliate Linda at an important dinner, and Jake disobeys his dad's orders and sneaks out to attend a rock concert."
5,S5.E7 ∙ Our Leather Gear Is in the Guest Room,"Mon, Nov 5, 2007",7.6, (1.3K,"After Alan gets in a fight with Charlie over a decorative bowl, Alan and Jake move in with Alan's mom."
5,S5.E8 ∙ Is There a Mrs. Waffles?,"Mon, Nov 12, 2007",8.4, (1.7K,Charlie discovers that being a children's singer means making lots of money and picking up single moms. But he also discovers that he's going to have to overcome his fear of performing in front of large audiences.
5,S5.E9 ∙ Tight's Good,"Mon, Nov 19, 2007",7.9, (1.3K,"Charlie ignores his future step-father's advice and gets involved with his daughter, and he learns the hard way that he should have heeded the warning."
5,S5.E10 ∙ Kinda Like Necrophilia,"Mon, Nov 26, 2007",8.0, (1.4K,"Alan finds out that Charlie stole his girlfriend in high school, so he sets out to even the score."
5,S5.E11 ∙ Meander to Your Dander,"Mon, Mar 17, 2008",8.0, (1.4K,"Alan's latest relationship has grown stale, so he turns to Charlie for advice about how to break up with her."
5,S5.E12 ∙ A Little Clammy and None Too Fresh,"Mon, Mar 24, 2008",7.7, (1.3K,"Charlie is suffering from a bad cold, and Rose suddenly and mysteriously resurfaces to ""take care of him."" So why isn't Charlie getting any better?"
5,S5.E13 ∙ The Soil is Moist,"Mon, Mar 31, 2008",8.1, (1.4K,"Alan sleeps with a woman he and Judith were friends with when they were married, who then tells him that Judith says her new husband is a better lover than him."
5,S5.E14 ∙ Winky-Dink Time,"Mon, Apr 14, 2008",7.9, (1.3K,Charlie sets up Alan with a prostitute and accompanies Jake on a double date.
5,S5.E15 ∙ Rough Night in Hump Junction,"Mon, Apr 21, 2008",7.7, (1.3K,"Charlie is acting even more promiscuous than normal, which is getting him in trouble with a lot of husbands and boyfriends. With the help of his psychiatrist, he discovers it's related to his ex-fiancée's upcoming wedding."
5,"S5.E16 ∙ Look at Me, Mommy, I'm Pretty","Mon, Apr 28, 2008",7.8, (1.3K,"Alan helps to plan his mother's wedding, and Charlie makes some moves on the woman who will soon be his stepsister."
5,S5.E17 ∙ Fish in a Drawer,"Mon, May 5, 2008",8.6, (2K,"Parody of ""CSI"" in which a body is found in Charlie's bed, and detectives try to figure out who is the killer."
5,S5.E18 ∙ If My Hole Could Talk,"Mon, May 12, 2008",7.7, (1.3K,"Charlie dates a self-help author who is much older than he is, has a 32-year-old son and treats Charlie more like a son than a boyfriend. Jake tries to write a book report over the weekend but keeps losing the book before he can read it."
5,S5.E19 ∙ Waiting for the Right Snapper,"Mon, May 19, 2008",7.8, (1.3K,"Alan has a crush on Charlie's new older girlfriend and Charlie discovers that he ""dated"" his girlfriend's son's fiancée. Meanwhile, Alan tries to get Jake to study for his algebra exam."
6,S6.E1 ∙ Taterhead Is Our Love Child,"Mon, Sep 22, 2008",7.8, (1.4K,"Charlie runs into an ex with a child who looks and acts a lot like him, and he starts to suspect that he is the boy's father."
6,"S6.E2 ∙ Pie Hole, Herb","Mon, Sep 29, 2008",7.7, (1.3K,Charlie kicks Alan out of the house again after Alan demands that Charlie pay him back the $38 he owes him. Alan and Jake are now forced to turn to Judith and Herb for a temporary home.
6,"S6.E3 ∙ Damn You, Eggs Benedict","Mon, Oct 6, 2008",7.9, (1.3K,"Alan tries to date two women at once; Charlie tries to learn how to cook; Jake tells Alan that he's studying with a friend, but gets drunk instead."
6,S6.E4 ∙ The Flavin' and the Mavin',"Mon, Oct 13, 2008",7.7, (1.4K,Alan is angry when Charlie hooks up with his secretary because he knows that the situation will end badly for him after their inevitable breakup.
6,S6.E5 ∙ A Jock Strap in Hell,"Mon, Oct 20, 2008",7.5, (1.4K,"Charlie gets more than he bargained for when he tries to make amends to one of Jake's old teachers that he dated, who went off the deep end and became a stripper after he broke up with her."
6,S6.E6 ∙ It's Always Nazi Week,"Mon, Nov 3, 2008",8.0, (1.3K,"Alan is overjoyed when he learns that Judith and Herb's marriage is on the rocks, but he gets more than he bargained for when he tries to fake-comfort her. Meanwhile, Herb tries picking up women with Charlie's help."
6,S6.E7 ∙ Best H.O. Money Can Buy,"Mon, Nov 10, 2008",7.9, (1.3K,"Alan and Judith start seeing each other again after Judith's breakup with Herb, Herb continues to turn to Charlie for help picking up women, and Charlie messes with Jake by threatening to get him sent to military school."
6,S6.E8 ∙ Pinocchio's Mouth,"Mon, Nov 17, 2008",7.7, (1.3K,Charlie's month-long relationship threatens to go down the tubes when Chelsea asks him to spend the night at her house instead. Alan grounds Jake for mooning some girls on a school bus.
