Title,Date,Rating,Thumbs_up,Thumbs_down,Description
The series has become too long,"Oct 23, 2019",5,166,6,"With Charlie, the series was really funny. When Ashton replaced him, the actors became increasingly stupid and the gags became shallow and unwitting. The quality has dropped with Charlie's departure."
Ruined,"Sep 21, 2011",8,724,139,"Where once stood a proud and mighty hilarious comedy with Charlie Sheen now stands a terrible pile of garbage with Ashton Kutcher. If they had simply traded actors and kept the writing it would have been excellent, but does anyone else get the feeling that the writers left with sheen? Or it might be the fact that Charlie knew how to act in TV shows as where kutcher... well come to think of it where was he a good actor because in all the movies I remember him in he's always this really dumb guy who just walks around clueless. Perhaps he figured that would work on shows too, it didn't. Being a slacker in your movie carrier doesn't give you license to be an idiot in a beloved series, but thanks for ruining that for us well done producers you just firebombed a good show. 1/10 since season 9."
THIS SHOW DESERVES TWO RATINGS,"Sep 1, 2021",7,17,1,"IMDB should have the option of rating this show in two parts as follows Season 1-8 - Rating 10.

Rating 9-12 - Rating 1.

Charlie Harper was the soul of the show. The last 4 seasons are a torture to watch without him."
The show should have been canceled.,"Sep 21, 2011",1,323,37,"The show was awesome with Sheen. Without him, it's done.

Watching the first episode of the latest season, I would say that they couldn't have done much more to completely destroy the show. They brought in a completely different type of personality, one that I personally have no interest in.

Don't get me wrong, I have nothing against Ashton Kutcher or his acting but he simply doesn't fit in this role. They should have tried to work things out with sheen or they could have just cut their losses and canceled the show.

Would they really expect any of the old fans to keep watching this?"
This show is so dead.,"Oct 20, 2011",N/A,163,22,"I gave it a chance, I believed in this season, I tried to like it, very hard, despite everything, but I just can't stand anymore. This show is dead! And don't get me wrong, I know that Kutcher have made some decent work in the past, take The Butterfly Effect for example, which I simply love to watch. I love this movie so much that I try to make like there's never been two lame sequels to it. It's just this one movie and that's it.

As about one of my favorite sitcoms of all time, sorry, but as much as Kutcher tries, there's no salvation to it.

I mean, Charlie Sheen is lots of fun, he can be an a**hole as a person, I don't care, but in the series, I used to LMAO with him and the rest of the cast.

Even the worst episode with Sheen is far better than this travesty now that they call Two and a Half Men Season 9.

Five episodes. No laughs, not even giggles. I'm done. The show is pretty dead to me.

As long as they don't bring Charlie back to this, do not even consider calling me to watch this garbage again.

3 stars in memory of what this show used to be once. A funny as hell experience. Now nothing but a travesty of itself.

Two and a Half Men (2003 - 2011) R.I.P."
Oh no.,"Oct 19, 2020",8,75,9,"I just heard about Conchata Ferrell (Berta).

She was very funny and had the best lines.

Nothing else to say.

I will miss her dearly

💜💜💜😘😘😘😘"
Awesome show,"Oct 15, 2020",7,29,4,"As long as Charlie Sheen was there it was an awesome show. After he left the show, later seasons felt dud."
rating just for 1-8 season,"Jun 18, 2020",10,33,3,Two and Half Men remake whit Charlie Sheen ? It will definitely be successful once again ;) I love this 1-8 season series.
Great show...... but just the first 8 seasons,"Sep 18, 2013",7,9,1,"In my opinion Two and a half men was one of the best TV show ever. I loved this show, it was very funny with likable characters and interesting storyline. Until the main character Charlie Sheen have been changed for Ashton Kutcher. I think that was a huge mistake. The show should have stopped with season 8. I rated it with 9 stars. Seasons 9 and 10 are quite watchable, but it is no more funny and it started to be awkward sometimes. It's not as good as before. My rating for these two seasons is 5.5. But after all I highly recommend this TV show for everyone who have not decided yet. Especially the first 8 seasons. You'll be satisfied and you're going to laugh a lot."
My review is only for the first 8 seasons.,"Apr 10, 2023",8,12,0,"This review is only for the first 8 seasons of the series. Because I heard a lot about how bad the last seasons were, I didn't even get to the point of starting watching them.

The writing: Good. Nothing special, but it's good: it has good jokes and the structure of the story is also good.

The acting: Very good from every actor! But in my opinion, mostly Charlie Sheen and Jon Cryer bring out their best.

The direction: Let's call it good. But that's just ""good"" too, nothing special. I think this is as good as a series like this can get.

So in summary: the first 8 seasons are good. They have funny jokes, great acting and good direction."
The show was best with Charlie Sheen,"Sep 10, 2012",6,14,3,"I personally enjoyed this show a lot, especially when Charlie Sheen was on it. Now with Ashton Kutcher as the star, the show has died for me, and I don't watch it anymore.

In the time before Charlie Sheen's little breakup with the show, I enjoyed the show a lot. The jokes were humorous, the acting was great and I could easily point out the characters character. The usual shows I watch that have child actors, the child usually lacks in acting skills, but Angus T. Jones (Jake) was a great actor from the beginning.

I personally don't recommend this show as of the newest Season with Kutcher, just because the humor is dead and now the show seems like a drag, for Charlie was really the main character that made the whole plot fit together. Yet, I do recommend watching the episodes with Sheen, because I find those humorous."
Another great show that died a shameful death.,"Apr 16, 2018",1,105,12,"What can I say? This show should have ended when Charlie left but now we have 100 episodes of garbage that will be on tv everyday for the rest of our lives. 10 stars for Charlie, minus 5 for that second idiot."
Amazing ... but not season 9,"Jan 8, 2012",10,53,9,"The show is lovely, I mean all seasons except season 9 when Charlie Harper dies. Seriously, the first episode was just a disaster. Funeral ? Oh come on, Charlie deserved at least few tears (you Mr producer own this your audience !!!) From the bottom of his heart, Charlie was a good person. And then a new character came. A grown man who acts like a child. This is not funny. It's irritating. First 4-5 episodes were a disaster, then it started to be a little better but overall, the show lost all the chemistry which was between Charlie, Alan, Jake, Berta + Charlie & Alan's mother. In addition with Judith and Herb it was an amazing show.

Now it's just Alan trying to save the show, Jake being still fun but he's growing up and that's pretty much it. Walden is just a bad character. It just irritates me - when 30 year old (or whatever) person acts like a child it is not funny at all. And what's the point of him being undressed all the time ? Not funny at all.

Actually, by watching Season 9 I couldn't believe that one person can have such an impact on show. I loved that humor when Charlie wanted Alan to ""get out of my house"" but we all knew that at the end they loved each other. The show was ... natural. I could actually imagine such weird family. With Walden character I just can't.

If S1-8 were like Champions League, Premiership in football (in US - Soccer) then S9 is something around ... Division :( Bring back Charlie."
Not anymore...,"Feb 27, 2019",6,5,0,"The show was great and was very fun to watch but the day Charlie Sheen left the show the show became boring. The old non-funny lame jokes and non-funny sexual acts to keep the show alive. They just kept on adding adult-scenes to attract the audience and they were successful in doing that but audience doesn't matter because the show was lame in last 4 seasons. There is no reason to watch last 4 seasons. I stopped watching the series when the 9th season started, truth is charlie sheen was the only man keeping the show together, the day he left, there was no reason left to continue watching the season!

Also excuse the english, am not an American nor British."
charlie come back,"Oct 2, 2011",1,485,80,"10/10 with charlie 1/10 without him....

its like taking the motor out of a lamborghini and replace it with 2 pedals for the driver. its not a lamborghini anymore. face it.

the whole concept of the show is based on charlies character. it makes absolutely no sense to continue without him. the only reason they do, they want the money so hard, since two and a half men was the most successful TV show. a lot of people say sheen went crazy, i say: charlie was right when he flipped out and offended the producers. it doesn't look like they love what they do, they just love the money. he wants double the money? pay him and get him back, only way to rescue a sinking boat. the show will be cancelled soon, if they continue like this."
"season 9 oh dear, come back Charlie all is forgiven","Sep 27, 2011",N/A,88,15,"I guess all the talented writers walked out of this show right behind Charlie Sheen,you can't bash Ashton Kutcher for stepping in & taking on this role,it doesn't work thats blatantly obvious,Kutchers character is bland & boring & is in no way a fitting replacement for the Charlie Harper character,you got to feel a little sorry for actor Jon Cryer because without Sheen even his best efforts are falling flat. This show should have been cancelled & the remaining characters re- written into a new show focusing on Cryer being the main character,after 8 seasons i think he should have been given the chance more so than hiring a new actor to take over the staring role,both Jon Cryer & Charlie Sheen can raise a laugh with a simple facial expression a talent that sadly Ashton Kutcher does not seem to possess,Kutcher is a good actor thats obvious but he's the wrong choice for this show. the first episode was just embarrassing but the second was so bereft of comedy the writers should sit down and watch an episode of big bang & 2 broke girls to see how it should be done. Love him or hate him Charlie Sheen was the real reason for the success of this show & he will be sorely missed."
Seasons 1-8 are great!,"Mar 29, 2024",10,9,0,"I love this show so much. When I visited my uncle as a kid it was always in the background on the TV and I started watching it when I was about 20. It got me through some tough times in my life, also when I caught a fever pretty badly this show got me through it. That show means A LOT to me.

The dynamic between Charlie, Alan and Jake is great! Every character in this show is awesome in their own way. The setting of the Malibu beach house is refreshing and the non apologetic, non politically correct humor is awesome. The concept of the show is special, as most sitcoms follow some family or even more commonly a bunch of friends in the big city, but this show is special. It's about two and a half men.

(I was talking about the first 8 seasons. The post charlie era consists of okay episodes and really bad ones)."
Charlie yes; Ashton no,"Nov 17, 2023",7,4,0,"This was a great show. Charlie Sheen carried it on his shoulders for 8 seasons with many eye candies. Actors playing Rose, Mia, Chelsea, Melissa roles being the top eye candies. Megan Fox, Brooke Shields and few others made cameo appearances. Male celebrities list is too long.

It has memorable characters including Berta the house keeper, Rose the stalker, Melissa the receptionist, Judith, her second husband Herb, Berta's daughters.

Even after 12 years, I am watching it for the nth time for Charlie and the girls. Only grouse being they should have avoided bathroom jokes.

This was a clear 10 for me until Charlie was in it. I tried to watch some episodes in ninth season but my mind wasn't in it. Rating reduced to just 7."
Now What !,"Sep 22, 2011",9,46,14,"OK...this is my first review...and its on this show called TWO AND A HALF MEN...big fan of the show...Charlie harper's character killed of in the sitcom...which was obviously the greatest asset of the show...they could have replaced the character with another actor but the makers kill him off due to their personal differences with the actor...and they cast Ashton kutcher as Walden Schmidt who is exactly the similar to the character of that of Jon cryer...Allan...the only difference is the money ! i couldn't understand why rose,Courtney and Chelsea were talking bad about Charlie...except rose...who was cheated...the latter ended their relationship on good term....they are the biggest flaw of the episode...i thought the episode was exactly similar to that which was in season 6(the devil's lube) in which Charlie dreams that he is dead...and the homosexuality jokes with guest star stamos literally sucked ! Charlie's character being more degraded which the producers wanted...well they won but now the future of the show is uncertain...you win guys...but what about the other man and a half ? !"
Watch only the Charlie episodes,"Aug 19, 2022",7,6,1,"As everybody says, without Charlie there's no point to continue watching this show. What once was fine, funny, relaxing became indifferent, even annoying to watch with Aston Kutcher on the leading role. Such a shame."
"458th Review: My favorite show bar none, but Ashton. No. No. It's gone all sappy & horrible","Sep 27, 2011",8,28,7,"This used to be my favorite show - bar none. From series one to now; brilliant, vicious, acerbic, and just smart laugh-loud funny, which worked because Charley Sheen is the voice inside saying all the things we longed to say, an unrepentant rebrobate whose vitriol sold this over and over and over again.

In poker AK looks very pretty but often is one of the worst choices to bet big with; so with this AK. Ashton is so sappy, so lacking anything, that what we get is two Alans - and that just dies. Ungracefully.

Please stop. Stop now. No more. Don't ruin some of the greatest comedy writing ever on TV by reducing this to a soapy mess where the only joke is that AK is soooo good-looking that everyone swoons.

Will not be watching again. Going to start with the DVDs all again. I miss Charley...."
Only for John Cryer,"Apr 28, 2013",7,12,5,"Please excuse me in front, cause for my English-skills, cause I'm Dutch.

I've pretty much enjoyed all seasons of Two and a half men. I've followed it since the beginning, where Jake was still an overweight, little pain in the a**.

Charlie Sheen made the show for me, so I was shocked when he got into fights with the directors of this show and got replaced by Ashton Kutcher. Yes, Ashton is a good actor for some of us, but I never believe a thing he says or does in this show. (Sometimes I think even a monkey can act better then he does)

While seasons 1 - 8 were like a well baked steak, the seasons where Charlie's no longer among us, I would rate as a nice piece of fast food- meat. Not great, but it will fill your appetite in the afternoon whilst waiting for a real dinner.

The only reason for me to watch this show, is because of the fact that Jon Cryer really deserves lots of respect. This whole shows depending on his acting-skills (and Alan's misery). He's the only reason people should watch this show, cause without him this show would die a slow and painful death."
Two and a Half ...The wasted season??,"Sep 20, 2011",1,175,26,"I just watched episode one of the new season. None of it made sense. Why would Charlie marry Rose? Why would Rose push him in front of a train? Why would a stranger buy Charlies beach house and allow Alan, Jake AND Berta to stay???????? The question of why lingers, the quality of the show has taken a huge hit. Ashton Kutcher just plain doesn't fit, it's like taking a jigsaw puzzle piece that doesn't fit and trying to jam it into place, it won't work, and neither will Mr Kutcher. My wife and I have watched this series from day one.....that all stops now. It seems that Mr Lorre has lost his way, sure Charlie Sheen was a pain in the proverbial a....you know, but he was a vital piece to the puzzle, Mr Lorre should suck it up and bring him back. The only other option really is too cancel the show. Sure they could continue on with this sham, but the ratings will go down, week one everyone tuned in too see the circus, now that the circus is over, who will return to watch it again...not us."
Series Died with Charlie Harper,"May 19, 2013",10,14,2,"My rating of 10 is based on seasons 1-8 with Charlie Sheen. I have watched three shows with Kutcher and it is not same show and should be rated -10.

Sheen brought out the best in the supporting characters, while Kutcher seems to be one of many, which leaves the show without a lead character.

Without Sheen, Alan, Jake, and the rest of the cast are rudderless and though the same writers are still providing the lines, the show is flat, unfunny, and impossible to watch because it is so bad. If this show had been pitched with Kutcher instead of Sheen, it would have never become a TV series.

Another problem for the show with Sheen was Jake growing into a teenager since part of the appeal of the show was Charlie's lifestyle around a small kid.

Seasons 1-6 are the best with 7-8 a close second and everything after Sheen was fired being unwatchable."
Bring back Charlie,"Aug 2, 2019",7,3,0,As soon as Charlie died show started to suck it's was really unnecessary.
"After Charlie, it all went wrong","Jul 20, 2012",1,88,13,"Charlie should have gone after Rose to marry her. Ryan Stiles divorces Alan's ex and moves in with Alan and the kid, more believable. 2 exes from the same wife living together with the kid. Ryan is a great comedian and should have gotten the part. Don't like the new show at all,Ashton Kutcher totally makes this an entirely different show from the first one. Bad transition, Ryan is a WAAY better comedian than Ashton will ever be and he already had a position in the show. Should continue along the same storyline rather than write a new show. This to me is an obvious move, why could no one else see this? It's not that I'm Canadian like Ryan, it's just that I have seen Ryan and followed him since I first saw him on the Beachcombers show 100 years ago.I think he has been overlooked too many times."
We need Charlie back,"Oct 4, 2011",N/A,77,16,"I have an idea to get Charlie back. What if Rose threw the wrong guy under the train (because Charlie stepped back to look at all the girls). Charlie saw and is on the run trying to get home....probably sleeping his way home ;-) Waldon owns the house but could get back with his wife thanks to Alan's (Jake's?) help. Waldon is so grateful he gives the house to Alan as a big thank you. That's when Charlie shows up. Except now it's Alan's house and not his. Of course he can't afford to live there and does need Charlies money. What do you think? Could this work ? Good idea, bad idea???? I will really miss having this show on TV and if it keeps going the way it is people are going to stop watching. We need smart, not stupid humor. Where did the writers go.....did they leave too???"
This rating is for Charlie,"Mar 5, 2022",9,6,0,"But this review is not. I believe the creators of the show were extremely disrespectful to the person that actually created the whole thing. Without Charlie, this is not a TV show. This is a pathetic attempt at recovery and a failed one at that. The writers really believe that they don't need Charlie and that is just sad. They obviously do and everything in the show proves that. Their pathetic attempts at extreme events that unfold or simply the ratings just show that this was not a succesfull attempt at keeping the show alive. It was better off dead and buried because then it would be at least remembered well. Before Ashton I was eagerly watching the show without even missing a sentence. After Ashton it just became something I watch in order to fall asleep and I am not exaggarating here. I really didn't like how they handle their attitude towards Charlie too. The jokes they did, the angles they took to look and things they said about Charlie were simply very disrespectful and goes to show how petty the writers actually were. Petty is the important word here. I don't know what Charlie did or how their relationship was and I'm sure he did many mistakes too. But mixing their personal opinions about him with the character he brought to the show is just sad. Without Charlie, you wouldn't even make after the pilot. The first time I watched the show, after watching two episodes with Ashton Kutcher, I was just extremely disappointed and didn't watch the rest. Then after years, when I was rewatching the show, I decided to finish the show this time. As you see, my idea didn't change. After charlie, the show is purely unwatchable. But the worst thing was how they disrespected him in the last episode. Goes to show that none of the writers or producers were professional people and they mixed their personal feelings with the show, and they messed it up. Even a bigger failiure than ending of Game of Thrones. If you are going to watch it, I suggest save yourself the pain, consider this an 8 season series and leave it there."
Great Through Season 8 - Horrific After That!,"Feb 12, 2025",7,3,0,"Such a funny and great situational comedy watching young Jake grow up with his father and uncle Charlie. While living in his uncle Charlie's beach house and his dad going through a divorce. Many, many hilarious situations that any of us that have been parents can relate to, including those of us that have been divorced. It's a terrible shame that personal issues between the producers and Charlie Sheen resulted in the death of the show (in my opinion). The shows entire persona was ripped out of the show when they decided to fire Sheen and ""kill"", him off. From season 9 onward, this show steadily declined into a real mess. And the producers, not just pleased with themselves for canning Sheen, disrespect him through the writing. My advice, watch Seasons 1 - 8 and avoid the season 9 - 12 debacle!"
S01-s08 8/10,"Aug 8, 2019",8,15,4,"Season 1 to season 8 8/10 after Charlie left the show was pretty much shit, go watch anger management after you finish two and a half men"
Was awesome at the beginning,"Dec 10, 2023",6,3,0,"I'd give it 9 if not 10 for the first few seasons, but then...

They made Jake dumb as a cork, that's -1 Charlie dropped out, that's another -1 And all this business with fake gays, so cringe, another -1

The finale is full of fun (and not very fun) references, but overall, I wasn't very pleased as they hinted us about something, which never happened (no spoilers) :D

Would recommend to watch, especially while Charlie is there. I finished it all and don't regret it, but it was going slowly downhill since probably season 6-7, but that's the fate of almost all long-run TV shows. Well, except for Friends and Everybody Loves Raymond :D."
Charlie you the man! Good pickup and a winner for CBS.,"Mar 27, 2006",10,106,62,"It's nice to see one of my favorite actors back in the mix of things, now three seasons in. Charlie Sheen now has one of the better hit shows on TV. This is funny well written and sex driven material that keeps the whole show interesting. Good story lines with Charlie Sheen as a liberal California womanizer, who takes in his divorced brother a nervous and conservative Alan played by the funny Jon Cryer, and then his son the adorable Jake played by Angus T. Jones who adds sugar to the cake round out a fine trio of men, who despite differences in lifestyle help one another out along the way and live as a big happy family. Always being a big Charlie Sheen fan it's nice to see him have success like this, even though it's coming on TV and not the big screen movies, he can still be a major factor in any comedy parts as it has been proved with this gem."
Sad to see that Chuck has written his last Vanity Card,"Feb 20, 2015",7,4,1,"The wife and I watched this comedy series for the first several seasons and we could not get enough of the Harper boys and their endless stream of family fiascos. We found the series to contain a great deal of first class comedy as well as some risky and frisky liaison's that pushed the envelope for prime time television. We would watch the reruns at all times of night and weekends and even if we saw the episode(s) previous multiple times we just laughed our butts off and waited for those classic Harper lines written by Chuck Lorre and his team of talented writers.

So a few years back Charlie Sheen experienced a very public physical and mental breakdown which gave him the courage and stupidity to declare he had tiger blood running through his veins and that not even the producer/writer Chuck Lorre could prevent him from continuing with his series and wowing the audience.

So the network responded to Charlie Sheen's public meltdown by sending Charlie off to marry Rose (Melanie Lynskey) at the end of season 8. At this time everyone wondered how Charlie would be written out of the series to allow it to continue on so Charlie and Rose took their honeymoon to France where Charlie somehow accidentally fell in front of a train and died. Well Mr. Sheen just remember that the producers always have the last say, and that their writers will say it for them. In your case Mr. Sheen, your tiger blood was run over by one man who happened to be both the writer and producer of your number one top television series for the network. Season 8 ended on a high note with the funeral for Charlie Harper whereby his family and his many ex-lovers eulogized good old Charlie at his funeral.

As season 9 approached Charlie was replaced by the capable and younger actor Ashton Kutcher who played Walden Schmidt and who valiantly tried to sustain the series success or mere existence for the next four years. I believe the lower ratings would have required the series to be canned, but the network executives pride would not allow them to admit that there were no winners, only losers as the series continued to wane since the demise of Charlie Harper.

The very last episode in season 12 was a two-part story line where we discover that Rose had been lying to everyone these past four seasons and that she actually had kept Charlie alive in her basement wishing well that she had built so that he could not escape. But alas, Charlie finds a way to escape Rose's basement wishing well and he texts his brother Alan and Walden that he seeks revenge upon them. He also writes his mother a not so nice note upon his escape telling her what he thinks of his cruel mother.

Although we never see Charlie in the closing two part episodes Mr. Lorre wanted to ensure he let the audience know in no uncertain terms that there was no love lost between him and Charlie. The closing scene reminds me of a scene from the western film Django where the director Quentin Tarantino inserted himself in to the film with a cameo appearance whereby he had himself blown up with dynamite. It was so cool! Mr. Lorre also inserted himself in to the very last scene in Two and a Half Men and he was more than fair in the way he closed out Two and a Half Men after 12 seasons. Please don't miss his last vanity card at the end of the show as it is quite the epitaph to the series and sums it up quite nicely.

Since the wife and I always considered the first several seasons to be a 10 plus rating and as the series declined gradually year after year through seasons 9 through 12, I have rated the series an overall 7. The series had a great cast, excellent writers, some surprise guest appearances, but without Charlie Sheen, the writing could not keep up with the loss of Charlie Harper's immoral character. Congrats on making billions of dollars Mr. Lorre, we had quite a few great evenings watching Two and a Half Men and we can't wait for a special edition of the complete series to come out as a box set."
Bring Back Charlie Sheen,"Nov 26, 2011",1,228,49,"It went from my favorite show on television to my not watching it anymore after the first new episode. Gratuitous nudity, bad chemistry....need I go on?

Now, I like Ashton Kutcher, he is just in an untenable position trying to replace the genius of Charlie Sheen, as well as, the character of Charlie Harper.

The interaction between Charlie, Alan, Jake, Berta, Evelyn, and all the other regulars cannot be recreated. It just doesn't work for me without the chemistry that was there prior to this season.

I don't approve or disapprove of Charlie Sheen's personal lifestyle. But, the show was HIS and his alone. He is irreplaceable.

Please find Charlie alive and living in Encino...

Bring him back."
"With Sheen 8, without not even 1","May 31, 2019",8,14,4,Sheen was the show. If the producer couldn't handle a pre-madonna actor then he should have gone (to some other industry) and not Sheen.
Separate it...,"Feb 10, 2024",7,4,1,"I would like IMDB if let us to leave 2 separate review, with Charlie Sheen it was an enjoyable show 7/8 stars... With Sheen actually funny punchlines, had a solid chemistry and storylines, obviously he was kind of playing himself in the show (thank god Kutcher didn't hit on teen girls as he did in real life). I understand he crossed the line, and was terrible to work with by the end ... With Kutcher it was unwantchable 1/2? As soon as he joined the chemistry flew out of the window, his terrible acting/ written character was just made the whole show to a pain to watch. I knew he is terrible but reached new lows..."
